Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
IRET,Investors Real Estate Trust,5.48,654899176.52,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/iret,
IRET^C,Investors Real Estate Trust,24.82,0.0,,,,,https://www.nasdaq.com/symbol/iret^c,
NVTA,Invitae Corporation,16.12,1113052196.36,,2015.0,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/nvta,
INVH,Invitation Homes Inc.,23.42,12191051694.78,,2017.0,Finance,Real Estate,https://www.nasdaq.com/symbol/invh,
IO,Ion Geophysical Corporation,15.3,214245884.7,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/io,
IQV,"IQVIA Holdings, Inc.",125.23,25369956860.85,,2013.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/iqv,
IRM,Iron Mountain Incorporated,34.6,9900644091.8,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/irm,
IRS,IRSA Inversiones Y Representaciones S.A.,16.88,976805864.48,,,Consumer Services,Homebuilding,https://www.nasdaq.com/symbol/irs,
ICL,Israel Chemicals Shs,6.13,7847633031.11,,2014.0,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/icl,
STAR          ,iStar Inc.,11.28,766679479.92,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/star,
STAR^D,iStar Inc.,25.0457,0.0,,,,,https://www.nasdaq.com/symbol/star^d,
STAR^G,iStar Inc.,24.6087,0.0,,,,,https://www.nasdaq.com/symbol/star^g,
STAR^I,iStar Inc.,24.2239,0.0,,,,,https://www.nasdaq.com/symbol/star^i,
ITCB,Ita? CorpBanca,15.0001,5124101750.4506,,,Finance,Commercial Banks,https://www.nasdaq.com/symbol/itcb,
ITUB,Itau Unibanco Banco Holding SA,10.51,68062378823.32,,,Finance,Major Banks,https://www.nasdaq.com/symbol/itub,
ITT,ITT Inc.,59.5,5212200000.0,,2011.0,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/itt,
IVH,Ivy High Income Opportunities Fund,14.3,236954360.5,,2013.0,,,https://www.nasdaq.com/symbol/ivh,
JPM,J P Morgan Chase & Co,117.62,395307188665.34,,,Finance,Major Banks,https://www.nasdaq.com/symbol/jpm,
JPM.WS,J P Morgan Chase & Co,,0.0,,,,,https://www.nasdaq.com/symbol/jpm.ws,
JPM^A,J P Morgan Chase & Co,24.85,0.0,,,Finance,Major Banks,https://www.nasdaq.com/symbol/jpm^a,
JPM^B,J P Morgan Chase & Co,25.685,0.0,,,,,https://www.nasdaq.com/symbol/jpm^b,
JPM^E,J P Morgan Chase & Co,25.76,0.0,,,,,https://www.nasdaq.com/symbol/jpm^e,
JPM^F,J P Morgan Chase & Co,25.76,0.0,,,,,https://www.nasdaq.com/symbol/jpm^f,
JPM^G,J P Morgan Chase & Co,25.805,0.0,,,,,https://www.nasdaq.com/symbol/jpm^g,
JPM^H,J P Morgan Chase & Co,25.82,0.0,,,Finance,Major Banks,https://www.nasdaq.com/symbol/jpm^h,
JAX,"J. Alexander&#39;s Holdings, Inc.",12.85,188833011.6,,2015.0,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/jax,
JILL,"J. Jill, Inc.",5.98,261589317.34,,2017.0,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/jill,
JCP,"J.C. Penney Company, Inc. Holding Company",2.0,629791528.0,,,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/jcp,
SJM,J.M. Smucker Company (The),109.17,12416729425.2,,,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/sjm,
JBL,Jabil Inc.,29.33,4940484341.52,,1993.0,Technology,Electrical Products,https://www.nasdaq.com/symbol/jbl,
JEC,Jacobs Engineering Group Inc.,76.81,10899653844.19,,,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/jec,
JAG,Jagged Peak Energy Inc.,14.14,3014354340.48,,2017.0,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/jag,
JHX,James Hardie Industries plc.,15.5,6843623829.0,,,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/jhx,
JHG,Janus Henderson Group plc,28.04,5491033551.44,,2017.0,Finance,Investment Managers,https://www.nasdaq.com/symbol/jhg,
JOF,Japan Smaller Capitalization Fund Inc,10.76,304872688.68,,1990.0,,,https://www.nasdaq.com/symbol/jof,
JBGS,JBG SMITH Properties,37.48,4509930020.48,,2017.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/jbgs,
JEF,Jefferies Financial Group Inc.,23.22,7739971222.68,,,Consumer Non-Durables,Meat/Poultry/Fish,https://www.nasdaq.com/symbol/jef,
JELD,"JELD-WEN Holding, Inc.",26.39,2769081904.68,,2017.0,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/jeld,
JCAP,"Jernigan Capital, Inc.",19.22,372191359.9,,2015.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/jcap,
JCAP^B,"Jernigan Capital, Inc.",24.87,0.0,,,,,https://www.nasdaq.com/symbol/jcap^b,
JT,Jianpu Technology Inc.,4.49,754434575.82,,2017.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/jt,
JKS,JinkoSolar Holding Company Limited,12.65,494796654.0,,2010.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/jks,
JMP,JMP Group LLC,5.2379999999999995,112366880.26200001,,2007.0,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/jmp,
JMPB,JMP Group LLC,25.6462,0.0,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/jmpb,
JMPD,JMP Group LLC,25.3199,0.0,,2017.0,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/jmpd,
JBT,John Bean Technologies Corporation,121.95,3854256335.1,,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/jbt,
BTO,John Hancock Financial Opportunities Fund,37.56,699964779.6,,1994.0,,,https://www.nasdaq.com/symbol/bto,
HEQ,John Hancock Hedged Equity & Income Fund,15.53,189538509.57,,2011.0,,,https://www.nasdaq.com/symbol/heq,
JHS,John Hancock Income Securities Trust,13.3,154899580.5,,,,,https://www.nasdaq.com/symbol/jhs,
JHI,John Hancock Investors Trust,16.1628,140729903.67,,,,,https://www.nasdaq.com/symbol/jhi,
HPF,John Hancock Pfd Income Fund II,21.39,454913878.44,,2002.0,,,https://www.nasdaq.com/symbol/hpf,
HPI,John Hancock Preferred Income Fund,21.82,567391002.28,,2002.0,,,https://www.nasdaq.com/symbol/hpi,
HPS,John Hancock Preferred Income Fund III,18.528,585058378.08,,2003.0,,,https://www.nasdaq.com/symbol/hps,
PDT,John Hancock Premium Dividend Fund,16.11,780314528.16,,,,,https://www.nasdaq.com/symbol/pdt,
HTD,John Hancock Tax Advantaged Dividend Income Fund,23.24,822346493.64,,2004.0,,,https://www.nasdaq.com/symbol/htd,
HTY,John Hancock Tax-Advantaged Global Shareholder Yield Fund,7.47,82464908.13,,,,,https://www.nasdaq.com/symbol/hty,
JW.A,"John Wiley & Sons, Inc.",,0.0,,,,,https://www.nasdaq.com/symbol/jw.a,
JW.B,"John Wiley & Sons, Inc.",,0.0,,,,,https://www.nasdaq.com/symbol/jw.b,
JNJ,Johnson & Johnson,140.46,376819916328.06,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/jnj,
JCI,Johnson Controls International plc,37.0,34222120697.0,,,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/jci,
JONE,"Jones Energy, Inc.",4.98,25613320.26,,2013.0,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/jone,
JLL,Jones Lang LaSalle Incorporated,139.81,6366468410.94,,,Finance,Real Estate,https://www.nasdaq.com/symbol/jll,
JMEI,Jumei International Holding Limited,2.18,326748604.58,,2014.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/jmei,
JNPR,"Juniper Networks, Inc.",29.2,10068014292.0,,1999.0,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/jnpr,
JP,Jupai Holdings Limited,9.2,303820395.2,,2015.0,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/jp,
JE,"Just Energy Group, Inc.",3.06,456708763.8,,,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/je,
JE^A,"Just Energy Group, Inc.",21.51,0.0,,,,,https://www.nasdaq.com/symbol/je^a,
LRN,K12 Inc,17.56,694901107.36,,,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/lrn,
KAI,Kadant Inc,107.1,1188648600.3,,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/kai,
KDMN,"Kadmon Holdings, Inc.",3.34,377759931.84,,2016.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kdmn,
KAMN,Kaman Corporation,66.11,1850794933.68,,,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/kamn,
KSU,Kansas City Southern,117.78,12032305040.34,,,Transportation,Railroads,https://www.nasdaq.com/symbol/ksu,
KSU^,Kansas City Southern,30.1341,0.0,,,Transportation,Railroads,https://www.nasdaq.com/symbol/ksu^,
KS,KapStone Paper and Packaging Corporation,34.14,3340270607.34,,,Basic Industries,Paper,https://www.nasdaq.com/symbol/ks,
KAR,"KAR Auction Services, Inc",61.76,8293679314.24,,2009.0,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/kar,
KMF,"Kayne Anderson Midstream Energy Fund, Inc",13.02,286884893.4,,2010.0,,,https://www.nasdaq.com/symbol/kmf,
KYN,Kayne Anderson MLP/Midstream Investment Company,18.11,2095563045.74,,2004.0,,,https://www.nasdaq.com/symbol/kyn,
KYN^F,Kayne Anderson MLP/Midstream Investment Company,25.13,0.0,,,,,https://www.nasdaq.com/symbol/kyn^f,
KB,KB Financial Group Inc,45.51,18032594503.74,,,Finance,Commercial Banks,https://www.nasdaq.com/symbol/kb,
KBH,KB Home,25.75,2257986625.75,,1986.0,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/kbh,
KBR,"KBR, Inc.",19.99,2812567332.84,,2006.0,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/kbr,
KAP,"KCAP Financial, Inc.",25.5035,0.0,,,,,https://www.nasdaq.com/symbol/kap,
FRAC,"Keane Group, Inc.",12.71,1393345735.53,,2017.0,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/frac,
K,Kellogg Company,72.4,25099100077.2,,,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/k,
KEM,Kemet Corporation,20.1,1153005144.0,,,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/kem,
KMPA,Kemper Corporation,25.54,0.0,,2014.0,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kmpa,
KMPR,Kemper Corporation,80.45,5208627205.65,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kmpr,
KMT,Kennametal Inc.,44.08,3615592221.36,,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/kmt,
KW,Kennedy-Wilson Holdings Inc.,21.15,3049926761.25,,,Finance,Real Estate,https://www.nasdaq.com/symbol/kw,
KEN,Kenon Holdings Ltd.,17.3111,931800234.6139,,2015.0,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ken,
KDP,Keurig Dr Pepper Inc.,23.56,32718560388.28,,,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/kdp,
KEG,"Key Energy Services, Inc.",13.43,271884239.35,,2016.0,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/keg,
KEY,KeyCorp,20.17,21219567935.3,,,Finance,Major Banks,https://www.nasdaq.com/symbol/key,
KEY^I,KeyCorp,26.82,0.0,,,,,https://www.nasdaq.com/symbol/key^i,
KEY^J,KeyCorp,24.45,0.0,,,,,https://www.nasdaq.com/symbol/key^j,
KEYS,Keysight Technologies Inc.,64.93,12169703546.22,,2014.0,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/keys,
KRC,Kilroy Realty Corporation,70.39,7084865068.15,,1997.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/krc,
KRP,Kimbell Royalty Partners,22.11,593420504.82,,2017.0,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/krp,
KMB,Kimberly-Clark Corporation,116.15,40381236437.15,,,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/kmb,
KIM,Kimco Realty Corporation,16.63,7007584539.19,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/kim,
KIM^I,Kimco Realty Corporation,25.02,0.0,,,,,https://www.nasdaq.com/symbol/kim^i,
KIM^J,Kimco Realty Corporation,24.26,0.0,,,,,https://www.nasdaq.com/symbol/kim^j,
KIM^K,Kimco Realty Corporation,24.47,0.0,,,,,https://www.nasdaq.com/symbol/kim^k,
KIM^L,Kimco Realty Corporation,22.65,0.0,,,,,https://www.nasdaq.com/symbol/kim^l,
KIM^M,Kimco Realty Corporation,22.65,0.0,,,,,https://www.nasdaq.com/symbol/kim^m,
KMI,"Kinder Morgan, Inc.",18.26,40296696992.2,,2011.0,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/kmi,
KMI^A,"Kinder Morgan, Inc.",34.28,0.0,,,,,https://www.nasdaq.com/symbol/kmi^a,
KFS,"Kingsway Financial Services, Inc.",3.0,70982565.0,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kfs,
KGC,Kinross Gold Corporation,3.03,3788193327.63,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/kgc,
KEX,Kirby Corporation,81.55,4882643150.0,,,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/kex,
KL,Kirkland Lake Gold Ltd.,18.07,3816869414.41,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/kl,
KRG,Kite Realty Group Trust,16.44,1375516831.08,,2004.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/krg,
KKR,KKR & Co. Inc.,27.89,23117286237.95,,,Finance,Investment Managers,https://www.nasdaq.com/symbol/kkr,
KKR^A,KKR & Co. Inc.,26.41,0.0,,,,,https://www.nasdaq.com/symbol/kkr^a,
KKR^B,KKR & Co. Inc.,26.45,0.0,,,,,https://www.nasdaq.com/symbol/kkr^b,
KIO,KKR Income Opportunities Fund,16.54,336428810.1,,2013.0,,,https://www.nasdaq.com/symbol/kio,
KREF,KKR Real Estate Finance Trust Inc.,20.14,1168574962.6,,2017.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/kref,
KMG,"KMG Chemicals, Inc.",76.0,1178739708.0,,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/kmg,
KNX,"Knight Transportation, Inc.",36.5,6500950614.0,,2017.0,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/knx,
