Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
IMO,Imperial Oil Limited,30.43,24322716740.69,,,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/imo,
IOR,"Income Opportunity Realty Investors, Inc.",11.9796,49933536.4344,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ior,
IGC,India Globalization Capital Inc.,1.69,56201399.54,,,Consumer Non-Durables,Electronic Components,https://www.nasdaq.com/symbol/igc,
INFU,"InfuSystems Holdings, Inc.",3.3,65022252.9,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/infu,
IHT,InnSuites Hospitality Trust,1.7,16290192.2,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/iht,
NSPR,InspireMD Inc.,0.1649,3922110.8816,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nspr,
NSPR.WS,InspireMD Inc.,,0.0,,,,,https://www.nasdaq.com/symbol/nspr.ws,
NSPR.WS.B,InspireMD Inc.,,0.0,,,,,https://www.nasdaq.com/symbol/nspr.ws.b,
IDN,"Intellicheck, Inc.",1.95,30482782.2,,1999.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/idn,
INS,Intelligent Systems Corporation,11.34,99769183.92,,1992.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ins,
THM,International Tower Hill Mines Ltd,0.457,85375224.131,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/thm,
INTT,inTest Corporation,8.2,86017655.6,,1997.0,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/intt,
INUV,"Inuvo, Inc",0.62,19967346.14,,,Consumer Services,Advertising,https://www.nasdaq.com/symbol/inuv,
VKI,Invesco Advantage Municipal Income Trust II,10.48,465223454.48,,,,,https://www.nasdaq.com/symbol/vki,
ISR,"IsoRay, Inc.",0.5311,35759572.1717,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/isr,
ISDR,Issuer Direct Corporation,15.05,46756918.6,,,Miscellaneous,Publishing,https://www.nasdaq.com/symbol/isdr,
